id,years_experience,technical_skills,num_skills,previous_domains,preferred_role,current_salary,education_level,has_certifications,location_preference,last_job_duration,it_state
58,7.3,"Linux,Git,Java,Docker",4,"Systems Architecture,Network Engineering",Data Scientist,155787,Bachelors,False,Remote,3.1,Colorado
59,7.3,"Azure,REST API,JavaScript,C++,AWS,SQL,TensorFlow,Python",8,"Web Development,Network Engineering,Database Administration",Network Administrator,162480,Bachelors,True,On-site,2.1,North Carolina
60,7.8,"Kubernetes,Python,Azure",3,"Database Administration,Cloud Computing",Full Stack Developer,153173,Bachelors,True,Hybrid,2.5,Texas
61,7.8,"React,AWS,C++",3,"Mobile Development,Data Science,Web Development",Systems Engineer,156958,Masters,False,Remote,1.3,Florida
62,7.7,"Python,MongoDB,Microservices,REST API,Linux",5,Network Engineering,Data Scientist,140165,Masters,True,Hybrid,4.0,North Carolina
63,5.6,"SQL,Linux,Azure,REST API,Git,Node.js",6,"DevOps,Web Development",Data Scientist,127568,Bachelors,True,Hybrid,4.0,Washington
64,2.6,"Git,REST API,Linux,Java,Microservices",5,Data Science,Full Stack Developer,100473,Masters,True,Hybrid,2.2,Arizona
65,4.8,"C++,React,Docker,Git,Java,SQL,MongoDB,Python",8,"Web Development,Machine Learning,Cloud Computing",ML Engineer,130445,Masters,True,Remote,2.2,Washington
66,5.0,"Git,Python,TensorFlow",3,"Data Science,Systems Architecture",Systems Engineer,105345,Bachelors,True,On-site,4.0,Georgia
67,7.9,"Python,C++,Azure,React,Node.js,Docker",6,"Security,Database Administration,Machine Learning",Data Scientist,174202,Masters,True,On-site,2.9,Georgia
68,2.6,"Linux,REST API,SQL,Git,JavaScript,Python,React",7,"Mobile Development,Web Development",Software Engineer,109971,Bachelors,False,Hybrid,2.1,California
69,7.3,"REST API,Node.js,Linux,Git,SQL",5,"Web Development,Security",Data Scientist,159434,PhD,False,Hybrid,2.0,Arizona
70,7.7,"Linux,Git,Azure,Python,Go",5,Data Science,Full Stack Developer,138006,Bachelors,True,Remote,3.3,Utah
71,7.9,"Java,Python,Linux,REST API",4,"Data Science,Machine Learning",Database Administrator,151665,Bachelors,True,Hybrid,3.7,Texas
72,7.7,"Python,Linux,SQL,AWS,React,Docker,Git,JavaScript",8,"DevOps,Database Administration",ML Engineer,151124,Bachelors,True,Hybrid,2.9,Illinois
73,2.4,"Linux,Git,Go,JavaScript,C++,Java,TensorFlow,MongoDB",8,"Web Development,Machine Learning",Database Administrator,105124,Bachelors,False,Remote,3.1,Oregon
74,2.8,"Git,Java,Kubernetes,JavaScript,SQL,REST API,PyTorch",7,"Data Science,Cloud Computing",Data Scientist,119667,Bachelors,False,Remote,3.4,Colorado
75,4.5,"Go,Git,Linux",3,"DevOps,Mobile Development",Data Scientist,108371,Masters,True,Hybrid,1.6,Georgia
76,7.4,"C++,REST API,Java",3,"Security,Cloud Computing",Full Stack Developer,132953,Bachelors,True,On-site,1.9,Massachusetts
77,3.6,"React,MongoDB,C++",3,Machine Learning,Software Engineer,104499,Bachelors,True,Remote,2.7,Georgia
78,3.3,"SQL,Kubernetes,PyTorch,Go,AWS",5,Mobile Development,Software Engineer,99256,Masters,True,Hybrid,2.2,Florida
79,3.0,"SQL,REST API,TensorFlow,JavaScript",4,"Web Development,Data Science,Security",Full Stack Developer,105495,Bachelors,True,Hybrid,4.0,Florida
80,6.5,"Python,React,Node.js,AWS,C++,Git",6,Web Development,Network Administrator,151643,Bachelors,True,Remote,2.8,Utah
81,7.1,"JavaScript,Java,SQL,Linux,Node.js,Microservices,Docker,Python",8,"DevOps,Network Engineering,Systems Architecture",Systems Engineer,159511,Bachelors,True,Remote,3.7,Washington
82,7.4,"Java,REST API,Docker,JavaScript",4,Systems Architecture,DevOps Engineer,135215,Bachelors,False,Remote,2.2,California
83,6.4,"C++,Go,Microservices,Java,Docker,TensorFlow,REST API",7,"Network Engineering,Database Administration,Cloud Computing",Network Administrator,159545,Bachelors,True,On-site,1.3,Oregon
84,3.3,"Python,JavaScript,MongoDB,Docker,Azure,Node.js,TensorFlow,PyTorch",8,"DevOps,Cloud Computing,Data Science",ML Engineer,117383,Bachelors,True,On-site,2.4,Virginia
85,7.1,"Go,Ruby,REST API,Azure,SQL,C++,Java,MongoDB",8,"Web Development,Security,DevOps",Systems Engineer,173035,Masters,True,Remote,2.3,Colorado
86,5.7,"PyTorch,JavaScript,AWS",3,Cloud Computing,Software Engineer,132780,Bachelors,True,Hybrid,2.2,Washington
87,5.0,"Java,Go,Git,Kubernetes",4,"Network Engineering,Mobile Development,DevOps",Full Stack Developer,119768,Bachelors,True,Hybrid,2.5,Florida
88,2.7,"Java,JavaScript,C++,Node.js",4,"Web Development,Data Science",Software Engineer,97427,Bachelors,False,On-site,1.3,Washington
89,4.5,"Ruby,Docker,Git",3,"Machine Learning,Data Science,Security",Network Administrator,100454,Masters,False,On-site,2.6,Georgia
90,4.4,"TensorFlow,Docker,Microservices,Python",4,"Web Development,Security,Mobile Development",Software Engineer,108625,Bachelors,True,Remote,3.7,Georgia
91,6.4,"TensorFlow,REST API,Java,React,Azure,C++,Ruby",7,Web Development,DevOps Engineer,142671,Masters,True,Remote,1.3,Arizona
92,3.3,"Java,Python,Kubernetes,C++,Git,Go",6,Cloud Computing,DevOps Engineer,116458,Masters,True,On-site,3.0,Oregon
93,4.4,"Java,Microservices,SQL,REST API,Git",5,"DevOps,Cloud Computing",Software Engineer,113714,Bachelors,False,Remote,2.1,Florida
94,6.1,"SQL,Git,C++,Python,Azure,React,Ruby,Docker",8,"Systems Architecture,Security,DevOps",ML Engineer,165254,Bachelors,True,Hybrid,2.8,Illinois
95,6.6,"Azure,MongoDB,React,Python,REST API,SQL,Java",7,"Cloud Computing,Systems Architecture,Mobile Development",Software Engineer,148193,Bachelors,False,Remote,1.3,Massachusetts
96,7.7,"Go,Docker,Kubernetes,Microservices,MongoDB,Azure,React",7,Web Development,Software Engineer,168579,Masters,True,On-site,1.7,Texas
97,7.4,"Git,REST API,MongoDB,Java,Python,React",6,Web Development,Database Administrator,154817,Bachelors,True,Hybrid,1.3,Virginia
98,7.7,"Java,Python,Git,SQL,TensorFlow,Docker,MongoDB,Azure",8,"Database Administration,Web Development",Security Analyst,157461,PhD,False,Remote,3.5,California
99,4.9,"React,C++,Node.js",3,"Web Development,Mobile Development",Software Engineer,111891,Bachelors,True,Hybrid,1.3,Virginia
100,2.5,"Python,AWS,C++,Git,MongoDB,React,Node.js,SQL",8,"Machine Learning,Web Development",Systems Engineer,119737,Masters,True,On-site,1.8,Georgia
101,6.4,"Python,TensorFlow,REST API,Java",4,Web Development,Network Administrator,134978,Masters,True,Remote,3.4,Texas
102,2.3,"SQL,C++,Java,Node.js,Git,Python,AWS",7,"Web Development,Security",ML Engineer,117260,Bachelors,True,Remote,4.0,Illinois
103,5.0,"Microservices,Git,SQL,Kubernetes",4,DevOps,Data Scientist,121866,Masters,True,Remote,1.1,Colorado
104,5.6,"Docker,MongoDB,SQL,PyTorch,JavaScript,Microservices",6,"Security,Machine Learning,Cloud Computing",Software Engineer,144757,Bachelors,True,On-site,3.9,Washington
105,5.6,"REST API,React,TensorFlow,Node.js",4,"Cloud Computing,Systems Architecture,Data Science",Data Scientist,133523,Bachelors,True,Hybrid,1.7,Illinois
106,4.7,"PyTorch,MongoDB,SQL,AWS",4,"Web Development,Database Administration,Data Science",Software Engineer,110025,Bachelors,True,On-site,1.4,Utah
107,4.9,"Git,Java,Node.js,AWS,Microservices,Azure",6,"Database Administration,Cloud Computing,Data Science",Systems Engineer,131903,Bachelors,True,On-site,1.5,Washington
108,4.0,"C++,Node.js,Go,REST API,TensorFlow,Linux",6,"Mobile Development,DevOps,Web Development",Database Administrator,129392,Bachelors,False,Remote,3.9,Florida
109,5.7,"Java,Git,AWS,C++,Node.js,REST API",6,"Cloud Computing,Security",Full Stack Developer,132415,Bachelors,False,On-site,3.6,North Carolina
110,6.8,"Git,TensorFlow,Python,C++",4,DevOps,Full Stack Developer,131614,Bachelors,False,Hybrid,3.8,New York
111,2.4,"Microservices,MongoDB,Git,Python,AWS,SQL,Java",7,DevOps,Systems Engineer,107425,PhD,True,Hybrid,2.2,North Carolina
112,4.7,"Go,Git,Java",3,"Web Development,Machine Learning",Full Stack Developer,107755,Bachelors,True,Remote,3.6,Massachusetts
113,6.6,"REST API,Java,Linux,Docker,JavaScript,C++",6,"Web Development,Network Engineering,Machine Learning",DevOps Engineer,156134,Bachelors,True,Remote,1.3,Arizona
114,2.2,"C++,React,Java,PyTorch,MongoDB,Linux,Node.js,Python",8,"Data Science,Machine Learning,DevOps",Network Administrator,118760,Masters,False,Hybrid,1.6,Oregon
115,4.6,"SQL,MongoDB,Node.js,AWS,Microservices,React",6,"Data Science,Security",Network Administrator,135052,Masters,True,Hybrid,3.9,North Carolina
116,5.3,"Python,Azure,React,C++,Kubernetes",5,"Cloud Computing,Security",Security Analyst,115539,Masters,True,On-site,1.6,North Carolina
117,3.6,"Git,Linux,MongoDB,SQL,Java,Python",6,"DevOps,Security,Cloud Computing",DevOps Engineer,125927,Masters,True,Hybrid,2.1,Massachusetts
118,7.6,"Go,Git,Docker",3,Database Administration,Full Stack Developer,150058,Masters,False,On-site,2.7,Illinois
119,2.5,"C++,React,Microservices,Git,JavaScript",5,"Web Development,Cloud Computing",Software Engineer,100764,PhD,False,Remote,3.1,Washington
120,4.9,"React,PyTorch,Ruby,Java",4,"Systems Architecture,Web Development",Network Administrator,110992,PhD,True,Remote,3.1,Utah
121,4.0,"Node.js,Ruby,JavaScript",3,Security,Software Engineer,102635,Bachelors,False,Hybrid,2.3,Washington
122,3.4,"Go,Python,Docker,REST API,Azure,PyTorch",6,Mobile Development,Data Scientist,113716,Bachelors,True,Remote,1.3,Texas
123,6.7,"Linux,REST API,SQL,Python,JavaScript,TensorFlow,Azure,Node.js",8,"Mobile Development,Network Engineering,Web Development",Software Engineer,142650,Masters,True,Hybrid,1.6,Oregon
124,3.6,"SQL,MongoDB,AWS,TensorFlow",4,"Database Administration,Cloud Computing",Full Stack Developer,114228,Bachelors,True,On-site,2.7,North Carolina
125,5.9,"C++,AWS,Node.js,Azure",4,"Web Development,Data Science,Cloud Computing",Security Analyst,119613,Masters,True,Remote,3.5,Virginia
126,2.5,"Go,C++,MongoDB",3,"Web Development,Cloud Computing,Machine Learning",Software Engineer,88754,Masters,False,Hybrid,2.9,Washington
127,6.8,"Node.js,Kubernetes,Azure,C++,SQL,Docker",6,"Mobile Development,Web Development",DevOps Engineer,145796,Bachelors,True,Remote,2.9,Illinois
128,6.5,"Java,C++,PyTorch,Python,Git,SQL",6,"Mobile Development,Web Development",ML Engineer,147101,Masters,True,Remote,3.2,Utah
129,5.6,"JavaScript,Git,Microservices,MongoDB,Azure,Java",6,Database Administration,Systems Engineer,148621,PhD,True,On-site,2.4,Washington
130,4.8,"REST API,Microservices,JavaScript,AWS",4,Mobile Development,Network Administrator,127207,Bachelors,True,Remote,2.8,North Carolina
131,7.1,"C++,JavaScript,Node.js,AWS,MongoDB,React",6,"Cloud Computing,Data Science",Systems Engineer,144857,Bachelors,True,On-site,1.4,Utah
132,7.6,"SQL,Node.js,Ruby,Git,TensorFlow,Python,PyTorch",7,"Cloud Computing,Database Administration,Machine Learning",Full Stack Developer,171162,Bachelors,True,Remote,3.8,Colorado
133,7.5,"Linux,Git,JavaScript,Node.js,SQL,MongoDB,PyTorch",7,"DevOps,Database Administration,Cloud Computing",Software Engineer,156726,Bachelors,True,Hybrid,2.2,Washington
134,7.8,"AWS,SQL,PyTorch,Azure,Node.js,Ruby,C++,Git",8,"Security,Systems Architecture,Data Science",Software Engineer,172786,Bachelors,False,Remote,3.9,Texas
135,2.7,"TensorFlow,Kubernetes,JavaScript",3,Web Development,Full Stack Developer,90951,Bachelors,True,Remote,3.9,New York
136,7.4,"SQL,React,Python,Kubernetes,REST API,Git",6,Systems Architecture,ML Engineer,166752,Masters,True,Hybrid,1.9,Florida
137,7.4,"REST API,Python,AWS,Linux,Java,React,SQL",7,Data Science,Network Administrator,155000,Bachelors,True,Remote,3.2,Illinois
138,6.9,"Linux,Docker,Git,MongoDB,Ruby,Java,AWS,JavaScript",8,Cloud Computing,Software Engineer,163679,Masters,True,Remote,3.8,Washington
139,5.7,"Python,JavaScript,Docker",3,"Cloud Computing,Mobile Development,Database Administration",DevOps Engineer,118798,Bachelors,True,Hybrid,3.0,Utah
140,6.0,"C++,Git,AWS,TensorFlow,SQL,Ruby,REST API,Docker",8,Web Development,Full Stack Developer,149943,Bachelors,True,Hybrid,1.1,Utah
141,2.4,"Java,Microservices,React,Go,SQL,REST API,JavaScript,Docker",8,"Database Administration,DevOps",Data Scientist,115660,Bachelors,True,Hybrid,3.9,North Carolina
142,7.4,"Git,SQL,Docker,Node.js,C++,JavaScript,Go,Microservices",8,"Systems Architecture,Mobile Development,Cloud Computing",Full Stack Developer,151007,Masters,False,Hybrid,1.9,Virginia
143,6.7,"Linux,JavaScript,Kubernetes,Java,SQL,TensorFlow,Node.js,PyTorch",8,"Data Science,Systems Architecture,Web Development",Software Engineer,157177,PhD,False,Remote,3.6,Virginia
144,7.7,"Kubernetes,REST API,C++,Linux,JavaScript,Git,SQL",7,"Network Engineering,DevOps",ML Engineer,168611,Masters,True,Remote,1.9,California
145,7.2,"Docker,Azure,MongoDB,Java,Python",5,Systems Architecture,Software Engineer,157575,Bachelors,True,Remote,1.5,Colorado
146,3.0,"JavaScript,Linux,SQL,MongoDB",4,"Cloud Computing,Mobile Development",Software Engineer,98734,Bachelors,True,Hybrid,2.0,Texas
147,3.8,"SQL,React,TensorFlow,C++,Kubernetes,Git",6,"Data Science,DevOps",Database Administrator,128164,Masters,True,Remote,3.6,California
148,5.4,"PyTorch,Linux,REST API,AWS",4,"Cloud Computing,Mobile Development",Full Stack Developer,129852,Masters,True,Remote,3.0,Texas
149,7.4,"Git,Java,Python,SQL,JavaScript",5,"Cloud Computing,Data Science,Mobile Development",Cloud Architect,152458,Masters,False,On-site,3.8,North Carolina
150,5.7,"Linux,Docker,Microservices",3,"Machine Learning,Mobile Development",Data Scientist,121627,Bachelors,True,Hybrid,2.5,Massachusetts
151,7.5,"Azure,Java,Git",3,"Mobile Development,Web Development",Systems Engineer,135406,Bachelors,True,Remote,3.9,Washington
152,3.2,"Node.js,JavaScript,C++,PyTorch,MongoDB",5,"Web Development,Network Engineering",Full Stack Developer,104073,Masters,True,On-site,1.3,Illinois
153,8.0,"MongoDB,SQL,Node.js,REST API,Microservices,Kubernetes,Java",7,Mobile Development,Network Administrator,171524,Bachelors,False,Remote,2.4,Oregon
154,7.2,"Java,Go,Docker,Azure,AWS",5,"Web Development,Cloud Computing",ML Engineer,160713,Bachelors,False,On-site,3.9,New York
155,2.2,"JavaScript,REST API,Java,React,Docker,AWS,Python,Node.js",8,DevOps,ML Engineer,110819,Bachelors,True,Hybrid,2.3,Georgia
156,7.7,"Java,Microservices,Linux",3,"DevOps,Cloud Computing",ML Engineer,145248,Masters,True,Hybrid,3.5,Utah
157,3.6,"SQL,MongoDB,AWS,JavaScript,PyTorch,React",6,Security,ML Engineer,120642,Bachelors,True,On-site,1.6,Utah
158,5.5,"TensorFlow,C++,Git,Node.js,Python,Ruby,Azure,Docker",8,"Mobile Development,Machine Learning",Full Stack Developer,148624,Bachelors,False,On-site,1.0,Texas
159,5.6,"Go,PyTorch,Microservices,Java,Azure,SQL",6,"DevOps,Machine Learning",Systems Engineer,147587,Bachelors,True,On-site,2.3,Massachusetts
160,2.6,"AWS,JavaScript,Ruby,Kubernetes,C++",5,"Mobile Development,Data Science,Systems Architecture",Full Stack Developer,108109,Bachelors,True,Remote,2.3,Arizona
161,5.3,"Azure,JavaScript,Linux,Java,Git,AWS",6,Mobile Development,Software Engineer,138889,Bachelors,True,Remote,1.0,Massachusetts
162,5.5,"Docker,Kubernetes,SQL",3,Systems Architecture,Full Stack Developer,130724,Bachelors,False,Remote,1.9,Texas
163,7.1,"Python,SQL,React,JavaScript,TensorFlow,Java,Git,Kubernetes",8,Data Science,Database Administrator,156794,Masters,True,On-site,2.8,California
164,7.6,"Linux,Azure,Java,Ruby,React,Git",6,"Cloud Computing,Web Development",Cloud Architect,153851,Masters,True,Remote,2.1,Massachusetts
165,6.3,"Git,MongoDB,Linux,REST API,SQL,Azure",6,"Network Engineering,Mobile Development,Database Administration",Full Stack Developer,157205,Bachelors,True,Hybrid,3.5,Oregon
166,4.2,"Docker,C++,Kubernetes,SQL,Java,Python,AWS,Git",8,"Data Science,Security",Data Scientist,123938,Bachelors,False,Hybrid,4.0,Utah
167,2.9,"Node.js,Python,SQL,Azure,Ruby,C++,Java",7,"Web Development,Database Administration,Mobile Development",DevOps Engineer,105810,Bachelors,True,On-site,3.2,Virginia
168,6.9,"Git,Linux,React,AWS,SQL",5,Systems Architecture,Software Engineer,142383,Bachelors,False,Hybrid,1.1,Texas
169,6.7,"Kubernetes,Python,C++,Linux,Git,REST API",6,Web Development,Full Stack Developer,132398,Bachelors,False,Remote,2.4,Oregon
170,3.9,"Kubernetes,PyTorch,Git,REST API,SQL,Linux,MongoDB",7,"Network Engineering,Mobile Development",Network Administrator,122290,Bachelors,False,On-site,2.0,Utah
171,5.5,"AWS,SQL,PyTorch,React,Java",5,"Data Science,Cloud Computing",Software Engineer,138759,Masters,False,Hybrid,2.9,Georgia
172,7.5,"REST API,C++,React,AWS,Git,Node.js,MongoDB,Docker",8,"Database Administration,Network Engineering",Software Engineer,175183,Masters,True,Remote,3.1,Florida
173,2.7,"Linux,React,SQL,Python,C++,Microservices,Java,Go",8,Mobile Development,Systems Engineer,110617,Bachelors,True,Hybrid,2.3,Colorado
174,5.4,"Docker,REST API,Microservices,Git,Node.js,MongoDB,JavaScript,AWS",8,Database Administration,Software Engineer,129715,Bachelors,False,Hybrid,3.5,Washington
175,2.7,"Docker,Python,SQL,REST API",4,"Systems Architecture,Data Science,Web Development",Cloud Architect,102606,Bachelors,False,Hybrid,2.5,Virginia
176,3.1,"PyTorch,React,Git,Linux,AWS,C++,Node.js,JavaScript",8,Database Administration,Network Administrator,128362,Bachelors,False,Remote,2.9,Texas
177,2.1,"Python,Docker,Git,Kubernetes",4,"Cloud Computing,Machine Learning",Systems Engineer,92996,Bachelors,True,Remote,3.8,North Carolina
178,4.8,"JavaScript,Go,Azure,REST API",4,"Security,Machine Learning,DevOps",ML Engineer,117252,Bachelors,True,Hybrid,3.3,New York
179,6.3,"MongoDB,C++,Node.js,Microservices,AWS,Python,Azure,Linux",8,Machine Learning,Data Scientist,162505,Bachelors,True,Remote,1.4,Illinois
180,6.6,"Linux,AWS,SQL,C++",4,"Mobile Development,Machine Learning",Software Engineer,132031,Masters,True,Remote,1.6,California
181,2.5,"Docker,C++,Kubernetes,MongoDB,AWS,REST API",6,"Cloud Computing,Web Development,DevOps",Cloud Architect,103916,Bachelors,True,Remote,3.4,Georgia
